NOM,CODE,CAPITALE,GENTILE
Afghanistan,AFG,Kaboul,Afghan
Afrique du Sud,ZAF,Prtoria,Sud-africain
Albanie,ALB,Tirana,Albanais
Algrie,DZA,Alger,Algrien
Allemagne,DEU,Berlin,Allemand(e)
Andorre,AND,Andorre-la-Vieille,Andorran
Angola,AGO,Luanda,Angolais
Antigua-et-Barbuda,ATG,Saint John's,"Antiguais, Barbudans"
Arabie saoudite,SAU,Riyad,Saoudien
Argentine,ARG,Buenos Aires,Argentin
Armnie,ARM,Erevan,Armnien
Australie,AUS,Canberra,Australien
Autriche,AUT,Vienne,Autrichien
Azerbadjan,AZE,Bakou,Azerbadjanais
Bahamas,BHS,Nassau,Bahamen
Bahren,BHR,Manama,Bahraini
Bangladesh,BGD,Dacca,Bangladais
Barbade,BRB,Bridgetown,Barbadien
Belgique,BEL,Bruxelles,Belge
Blize,BLZ,Belmopan,Blizien
Bnin,BEN,Porto-Novo,Bninois
Bhoutan,BTN,Thimphou,Bhoutanais
Bilorussie,BLR,Minsk,Bilorusse
Birmanie,MMR,Naypyidaw,Birmans
Bolivie,BOL,Sucre / La Paz,Bolivien(ne)
Bosnie-Herzgovine,BIH,Sarajevo,Bosnien-Herzgovien
Botswana,BWA,Gaborone,Botswanais
Brsil,BRA,Brasilia,Brsilien(ne)
Brunei,BRN,Bandar Seri Begawan,Bruneien
Bulgarie,BGR,Sofia,Bulgare
Burkina,BFA,Ouagadougou,Burkinab
Burundi,BDI,Gitega,Burundais
Cambodge,KHM,Phnom Penh,Cambodgien
Cameroun,CMR,Yaound,Camerounais.
Canada,CAN,Ottawa,Canadien(ne)
Cap-Vert,CPV,Praia,Capverdien
Centrafrique,CAF,Bangui,Centrafricain(e)
Chili,CHL,Santiago,Chilien
Chine,CHN,Pkin,Chinois
Chypre,CYP,Nicosie,Chypriote
Colombie,COL,Bogota,Colombien(ne)
Comores,COM,Moroni,Comorien
Congo,COG,Brazzaville,Congolais
Rpublique dmocratique du Congo,COD,Kinshasa,Congolais.
les Cook,COK,Avarua,Cookien
Core du Nord,PRK,Pyongyang,Nord-coren
Core du Sud,KOR,Soul,Sud-coren
Costa Rica,CRI,San Jos,Costaricien.
Cte d'Ivoire,CIV,Yamoussoukro,Ivoirien.
Croatie,HRV,Zagreb,Croate
Cuba,CUB,La Havane,Cuban.
Danemark,DNK,Copenhague,Danois
Djibouti,DJI,Djibouti,Djiboutien
Rpublique dominicaine,DOM,Saint-Domingue,Dominicain.
Dominique,DMA,Roseau,Dominicain.
gypte,EGY,Le Caire,gyptien
mirats arabes unis,ARE,Abou Dabi,mirien
quateur,ECU,Quito,quatorien.
rythre,ERI,Asmara,Rythrien
Espagne,ESP,Madrid,Espagnol
Estonie,EST,Tallinn,Estonien
Eswatini,SWZ,Mbaban,Eswatinien
tats-Unis,USA,Washington,Amricain
thiopie,ETH,Addis Abeba,thiopien
Fidji,FJI,Suva,Fidjien
Finlande,FIN,Helsinki,Finlandais
France,FRA,Paris,Franais(e)
Gabon,GAB,Libreville,Gabonais(e)
Gambie,GMB,Banjul,Gambien
Gorgie,GEO,Tbilissi,Gorgien.
Ghana,GHA,Accra,Ghanen
Grce,GRC,Athnes,Grec.
Grenade,GRD,Saint-Georges,Grenadien
Guatmala,GTM,Guatmala,Guatmaltque
Guine,GIN,Conakry,Guinen.
Guine quatoriale,GNQ,Malabo,quato-guinen
Guine-Bissao,GNB,Bissao,Bissau-Guinen
Guyana,GUY,Georgetown,Guyanien
Hati,HTI,Port-au-Prince,Hatien
Honduras,HND,Tgucigalpa,Hondurien
Hongrie,HUN,Budapest,Hongrois
Inde,IND,New Delhi,Indien
Indonsie,IDN,Jakarta,Indonsien
Irak,IRQ,Bagdad,Irakien
Iran,IRN,Thran,Iranien
Irlande,IRL,Dublin,Irlandais
Islande,ISL,Reykjavik,Islandais
Isral,ISR,,Isralien
Italie,ITA,Rome,Italien
Jamaque,JAM,Kingston,Jamacain
Japon,JPN,Tokyo,Japonais
Jordanie,JOR,Amman,Jordaniens
Kazakhstan,KAZ,Nour-Soultan,Kazakhstanais
Knya,KEN,Nairobi,Knyan
Kirghizstan,KGZ,Bichkek,Kirghize
Kiribati,KIR,Bairiki,Kiribatien
Kosovo,KOS,Pristina,Kosovar.
Kowet,KWT,Kowet,Kuwaiti
Laos,LAO,Vientiane,Laotien
Lsotho,LSO,Masru,Basotho
Lettonie,LVA,Riga,Letton.
Liban,LBN,Beyrouth,Libanais
Libria,LBR,Monrovia,Librien.
Libye,LBY,Tripoli,Libyen
Liechtenstein,LIE,Vaduz,Liechtensteinois
Lituanie,LTU,Vilnius,Lituanien
Luxembourg,LUX,Luxembourg,Luxembourgeois
Macdoine du Nord,MKD,Skopje,Macedonien
Madagascar,MDG,Antananarivo (Tananarive),Malgache
Malaisie,MYS,Kuala Lumpur,Malaisien
Malawi,MWI,Lilongw,Malawien
Maldives,MDV,Mal,Maldivien
Mali,MLI,Bamako,Malien
Malte,MLT,La Valette,Maltais
Maroc,MAR,Rabat,Marocain.
les Marshall,MHL,Delap-Uliga-Darrit,Marshallais
Maurice,MUS,Port-Louis,Mauricien
Mauritanie,MRT,Nouakchott,Mauritanien
Mexique,MEX,Mexico,Mexicain
Micronsie,FSM,Palikir,Micronsien.
Moldavie,MDA,Chisinau,Moldave
Monaco,MCO,Monaco,Mongasque
Mongolie,MNG,Oulan-Bator,Mongol.
Montngro,MNE,Podgorica,Montngrin
Mozambique,MOZ,Maputo,Mozambicain
Namibie,NAM,Windhoek,Namibien
Nauru,NRU,Yaren,Nauruan
Npal,NPL,Katmandou,Npali
Nicaragua,NIC,Managua,Nicaraguayen
Niger,NER,Niamey,Nigerien
Nigria,NGA,Abuja,Nigrian
Niue,NIU,Alofi,Niuenne
Norvge,NOR,Oslo,Norvgien
Nouvelle-Zlande,NZL,Wellington,No-zlandais
Oman,OMN,Mascate,Omanien
Ouganda,UGA,Kampala,Ougandais
